Id,Name,HasLegacyCP
0101800DUS,Huntsville City Schools,1
0102490DUS,Mountain Brook City,
0200240DUS,Sitka Borough School District,
0400052DUS,Espiritu Community Development Corp.,
0400450DUS,Agua Fria Union High School District,
0401760DUS,Catalina Foothills School District,
0402690DUS,Dysart Unified School District,1
0402860DUS,Flagstaff Unified District,1
0402920DUS,Florence Unified School District,1
0403780DUS,Higley Unified School District,1
0405930DUS,Paradise Valley Unified School District,
0406730DUS,Prescott Unified District,
0406740DUS,Sanders Unified School District,
0407570DUS,Scottsdale Unified School District,1
0408170DUS,Sunnyside Unified District,
0408340DUS,Tempe Union High School District,1
0500012DUS,Riverside School District,
0500019DUS,Batesville School District,1
0500023DUS,Newport School District,
0500028DUS,Star City School District,1
0500029DUS,Gosnell School District,1
0500032DUS,Bearden School District,1
0500035DUS,Ark. School For The Blind-District,1
0500042DUS,Hamburg School District,1
0500045DUS,Rivercrest School District,1
0500048DUS,East Poinsett Co. School Dist.,1
0500049DUS,DeQueen School District,1
0502580DUS,Ashdown School District,1
0502790DUS,Bauxite School District,1
0503030DUS,Pea Ridge School District,1
0503060DUS,Bentonville School District,1
0503090DUS,Bergman School District,1
0503150DUS,Berryville School District,1
0503300DUS,Blevins School District,1
0503320DUS,Blytheville School District,1
0503630DUS,Brinkley School District,1
0503690DUS,Bryant School District,1
0503710DUS,Buffalo Is. Central Sch. Dist.,1
0503960DUS,Carlisle School District,
0504050DUS,Cave City School District,1
0504080DUS,Cedarville School District,1
0504380DUS,Clarksville School District,1
0504560DUS,Concord School District,1
0504980DUS,Decatur School District,1
0505170DUS,Dermott School District,1
0505550DUS,Earle School District,1
0505850DUS,England School District,1
0505970DUS,Eureka Springs School District,1
0506090DUS,Farmington School District,1
0506120DUS,Fayetteville School District,1
0506210DUS,Fordyce School District,
0506270DUS,Forrest City School District,1
0506330DUS,Fort Smith Public Schools,1
0506840DUS,Gravette School District,1
0507170DUS,Hackett School District,1
0507560DUS,Heber Springs School District,1
0507680DUS,Helena/ W.helena School Dist.,1
0507890DUS,Hot Springs School District,1
0507920DUS,Jessieville School District,1
0508490DUS,Kirby School District,1
0508610DUS,Lake Hamilton School District,1
0508640DUS,Lakeside School District,1
0508940DUS,Lincoln School District,1
0509000DUS,Little Rock School District,1
0509060DUS,Lonoke School District,1
0509510DUS,Marvell-Elaine School District,1
0509780DUS,Mineral Springs School Dist.,1
0509840DUS,Monticello School District,
0510260DUS,Mountainburg School District,1
0510290DUS,Mulberry/Pleasant View School District,1
0510440DUS,Nettleton School District,1
0510680DUS,N. Little Rock School District,1
0510950DUS,Osceola School District,1
0511070DUS,Pangburn School District,1
0511850DUS,Pulaski County Special School District,1
0511970DUS,Rogers School District,1
0512180DUS,Scranton School District,1
0512450DUS,Siloam Springs School District,1
0512510DUS,Smackover-Norphlet School District,1
0512520DUS,So. Conway Co. School District,1
0512540DUS,Southside School District,1
0512660DUS,Springdale School District,1
0513110DUS,Texarkana School District,1
0513410DUS,Van Buren School District,1
0514010DUS,West Fork School District,1
0600001DUS,Acton-agua Dulce Unified,
0600013DUS,Rocklin Unified School District,
0600018DUS,Mountain Valley Unified,
0600020DUS,Pleasanton Unified School District,
0600027DUS,Lake Elsinore Unified School District,1
0600032DUS,Redondo Beach Unified School District,1
0600034DUS,Windsor Unified,
0600044DUS,Healdsburg Unified,
0600047DUS,Tracy Unified School District,1
0600061DUS,Riverbank Unified,
0600065DUS,Dinuba Unified,
0601620DUS,Abc Unified,
0601650DUS,Acalanes Union High,
0601770DUS,Alameda Unified School District,
0602450DUS,Amador County Unified,1
0602630DUS,Anaheim Union High School District,
0602670DUS,West Sonoma County Union High,
0602820DUS,Antelope Valley Union High,1
0602970DUS,Arcadia Unified,
0603600DUS,Azusa Unified,1
0603610DUS,Baker Valley Unified,
0604110DUS,Bassett Unified,1
0604440DUS,Bellflower Unified,1
0604830DUS,Beverly Hills Unified,1
0606900DUS,Calexico Unified,1
0607020DUS,Calistoga Joint Unified School District,1
0607230DUS,Campbell Union High School District,1
0607440DUS,Capistrano Unified School District,1
0607500DUS,Carlsbad Unified School District,
0607900DUS,Center Joint Unified,
0607920DUS,Centinela Valley Union High School District,1
0608970DUS,Cloverdale Unified,
0609640DUS,Conejo Valley Unified School District,1
0609940DUS,Cotati-rohnert Park Unified,1
0610050DUS,Covina-Valley Unified School District,1
0610260DUS,Culver City Unified,1
0610350DUS,Cutler-Orosi Joint Unified School District,
0611040DUS,Denair Unified,1
0611460DUS,Downey Unified,1
0611520DUS,Duarte Unified School District,1
0611820DUS,East Side Union High School District,1
0612070DUS,El Dorado Union High School District,
0612910DUS,Escondido Union High,1
0613080DUS,Eureka Union,
0613360DUS,Fairfield-Suisun Unified School District,1
0613530DUS,Fallbrook Union High School District,
0613800DUS,Fillmore Unified,1
0613890DUS,Folsom-Cordova Unified,1
0613920DUS,Fontana Unified School District,1
0614430DUS,Fremont Union High School District,
0614760DUS,Fullerton Joint Union High,1
0614950DUS,Gateway Unified School District,
0615270DUS,Glendora Unified,
0618930DUS,Jefferson Union High School District,1
0619540DUS,Kern High School District,1
0619650DUS,South Monterey County Joint Union High School Dist,1
0619700DUS,Kings Canyon Joint Unified,1
0620370DUS,Laguna Beach Unified School District,
0620820DUS,Lammersville USD,
0621000DUS,Las Virgenes Unified School District,1
0621400DUS,Lemoore Union High,
0621870DUS,Lindsay Unified,1
0622230DUS,Lodi Unified,1
0622440DUS,Lone Pine Unified,
0622710DUS,Los Angeles Unified School District,
0622740DUS,Los Banos Unified,1
0622800DUS,Los Gatos-saratoga Joint Union High,
0623160DUS,Lynwood Unified School District ,
0624750DUS,Middletown Unified,1
0625150DUS,Modesto City Schools,1
0625320DUS,Monrovia Unified,1
0625530DUS,Monterey Peninsula Unified School District,1
0625690DUS,Moorpark Unified,
0625830DUS,Morgan Hill Unified,
0626310DUS,Mountain View Los Altos High School District ,
0626370DUS,Mt. Diablo Unified,
0626640DUS,Napa Valley Unified School District,1
0626760DUS,Needles Unified,1
0627060DUS,Newark Unified School District,1
0627240DUS,Newport-Mesa Unified School District,1
0627720DUS,Novato Unified School District,1
0628270DUS,Ojai Unified,1
0628650DUS,Orange Unified School District,
0628950DUS,Oro Grande School District,1
0629130DUS,Oroville Union High,
0629270DUS,Oxnard Union High School District,
0629490DUS,Pajaro Valley Unified,1
0629610DUS,Palo Alto Unified School District,1
0629700DUS,Palos Verdes Peninsula Unified School District,
0629850DUS,Paramount Unified School District,1
0629940DUS,Pasadena Unified School District,
0630030DUS,Patterson Joint Unified,
0630660DUS,Placentia-Yorba Linda Unified,
0630990DUS,Pleasant Valley,
0632610DUS,Rim Of The World Unified,1
0632760DUS,Rio School District,1
0633510DUS,Roseland Public Schools,1
0633630DUS,Roseville Joint Union High,
0633860DUS,Saddleback Valley Unified,1
0634140DUS,San Benito High District,
0634320DUS,San Diego Unified School District,
0634380DUS,San Dieguito Union High,
0634440DUS,San Jacinto Unified School District,1
0634590DUS,San Jose Unified School District,1
0634620DUS,San Juan Unified School District,1
0634710DUS,San Lorenzo Unified,1
0634740DUS,San Lorenzo Valley Unified School District,1
0634800DUS,San Luis Coastal Unified,1
0634980DUS,San Mateo Union High School District,
0635110DUS,San Rafael City Schools,
0635130DUS,San Ramon Valley Unified School District,
0635250DUS,Sanger Unified,1
0635370DUS,Santa Barbara Unified School District,1
0635430DUS,Santa Clara Unified,1
0635600DUS,Santa Cruz City Schools,
0635700DUS,Santa Monica-Malibu Unified,1
0635830DUS,Santa Rosa City Schools,
0636390DUS,Sequoia Union High School District,
0636600DUS,Shasta Union High School District,1
0636840DUS,Simi Valley Unified,1
0637200DUS,Sonoma Valley Unified,
0637500DUS,South Pasadena Unified School District,
0637830DUS,St. Helena Unified School District,1
0638770DUS,Tahoe Truckee Unified School District ,
0638790DUS,Tamalpais Union High School District,
0638980DUS,Temple City Unified,
0639420DUS,Torrance Unified,
0639630DUS,Travis Unified,1
0639930DUS,Tulare Joint Union High,
0640150DUS,Tustin Unified,
0640590DUS,Vacaville Unified,1
0640980DUS,Ventura Unified,
0641190DUS,Vista Unified School District,
0641580DUS,Washington Unified,
0642000DUS,West Covina Unified,1
0642140DUS,Western Placer Unified,1
0642480DUS,Whittier Union High,
0642510DUS,William S. Hart Union High School District,
0642580DUS,Laytonville Unified,
0642930DUS,Winters Joint Unified,1
0643050DUS,Woodlake Unified School District,
0643560DUS,Yucaipa-Calimesa Joint Unified,1
0684500DUS,Irvine Unified School District,
0691035DUS,Santa Clara County Office Of Education,1
0801920DUS,Academy School District 20,
0801950DUS,Adams County School District 14,
0802070DUS,Alamosa Re-11j,1
0802340DUS,Aurora Public Schools,
0802400DUS,Bayfield 10 Jt-r,
0802430DUS,Bennett 29j,
0802490DUS,Boulder Valley School District,
0802580DUS,School District 27J,
0802760DUS,Campo School District RE-6,
0802790DUS,Canon City Re-1,
0802910DUS,Cherry Creek Schools,1
0803000DUS,Clear Creek School District RE-1,
0803060DUS,Colorado Springs School District 11,
0803330DUS,Delta County 50(j),1
0803360DUS,Denver Public Schools,
0803450DUS,Douglas County School District,
0803480DUS,Durango 9-r,
0803510DUS,Eads School District RE-1,
0803540DUS,Eagle County Schools,
0803750DUS,Ellicott 22,
0803780DUS,Englewood Schools,
0803990DUS,Poudre School District,1
0804020DUS,Weld County S/d Re-8,1
0804050DUS,Morgan County School District Re-3,
0804080DUS,Fountain-Fort Carson School District 8,
0804260DUS,Roaring Fork Re-1,
0804290DUS,Granada School District RE-1,
0804320DUS,East Grand 2,
0804350DUS,Mesa County Valley School District 51,1
0804410DUS,Greeley-Evans School District 6,1
0804470DUS,Gunnison Watershed Re1j,
0804590DUS,Hayden Re-1,1
0804680DUS,Holly School District RE-3,
0804800DUS,Jefferson County Public Schools,1
0804830DUS,Johnstown-milliken Re-5j,1
0804920DUS,Weld County School District Re-3J (Keenesburg),1
0804950DUS,Platte Valley Re-7,
0804980DUS,Kim Reorganized School District 88,
0805070DUS,West Grand 1-jt.,
0805220DUS,Lamar School District RE-2,
0805370DUS,St. Vrain Valley Schools,
0805400DUS,Thompson School District,
0805490DUS,Manitou Springs 14,
0805580DUS,McClave School District RE-2,
0805610DUS,Meeker Re1,
0805790DUS,Montrose County School District RE-1J,
0805820DUS,Lewis-Palmer District 38,
0805910DUS,South Routt Re 3,
0805970DUS,Ouray R-1,
0806000DUS,Platte Valley Re-3,
0806090DUS,Pritchett School District RE-3,
0806120DUS,Pueblo City Schools,
0806150DUS,Pueblo County School District 70,1
0806240DUS,Garfield School District Re-2,1
0806480DUS,Widefield School District 3,
0806540DUS,Sheridan 2,
0806630DUS,Springfield School District RE-4,
0806660DUS,Steamboat Springs School District ,
0806810DUS,Summit School District,1
0806900DUS,Adams 12 Five Star Schools,1
0806930DUS,Plainview School District RE-2,
0806990DUS,Vilas School District RE-5,
0807080DUS,Huerfano Re-1,
0807110DUS,Walsh School District RE-1,
0807350DUS,Weld RE-4 School District,
0807380DUS,Woodland Park Re-2,
0900002DUS,Connecticut Technical Education Career System,
0900005DUS,Regional School District 19,
0900060DUS,Ansonia School District,1
0900120DUS,Avon School District,
0900210DUS,Berlin School District,
0900270DUS,Bethel School District,
0900330DUS,Bloomfield School District,
0900360DUS,Bolton School District,
0900420DUS,Branford School District,
0900450DUS,Bridgeport Public Schools,
0900510DUS,Bristol Public Schools,1
0900540DUS,Brookfield School District,
0900690DUS,Canton School District,
0900700DUS,Capitol Region Education Council,
0900750DUS,Cheshire School District,
0900810DUS,Clinton School District,
0900840DUS,Colchester School District,
0900960DUS,Coventry School District,
0900990DUS,Cromwell School District,
0901020DUS,Danbury School District,
0901050DUS,Darien School District,
0901110DUS,Derby School District,
0901170DUS,East Granby School District,
0901200DUS,East Haddam School District,
0901230DUS,East Hampton School District,
0901260DUS,East Hartford School District,
0901290DUS,East Haven School District,
0901320DUS,East Lyme School District,1
0901440DUS,Ellington School District,
0901470DUS,Enfield School District,
0901530DUS,Fairfield Public Schools,
0901560DUS,Farmington School District,
0901620DUS,Glastonbury School District,
0901680DUS,Granby School District,
0901710DUS,Greenwich School District,
0901740DUS,Griswold School District,
0901770DUS,Groton School District,
0901800DUS,Guilford School District,
0901860DUS,Hamden School District,
0901920DUS,Hartford School District,
0902070DUS,Killingly School District,1
0902130DUS,Lebanon School District,
0902160DUS,Ledyard School District,
0902220DUS,Litchfield School District,
0902280DUS,Madison School District,
0902310DUS,Manchester School District,
0902400DUS,Meriden School District,
0902520DUS,Milford School District,
0902550DUS,Monroe School District,
0902640DUS,Naugatuck School District,
0902700DUS,New Canaan School District,
0902730DUS,New Fairfield School District,
0902790DUS,New Haven Public Schools,
0902820DUS,New London School District,
0902880DUS,Newington School District,
0902910DUS,Newtown School District,
0902970DUS,North Branford School District,
0903030DUS,North Haven School District,1
0903060DUS,North Stonington School District,
0903090DUS,Norwalk School District,
0903120DUS,Norwich School District,
0903180DUS,Old Saybrook School District,
0903210DUS,Orange School District,
0903240DUS,Oxford School District,
0903270DUS,Plainfield School District,
0903300DUS,Plainville School District,
0903330DUS,Plymouth School District,
0903390DUS,Portland Public Schools,
0903450DUS,Learn,
0903520DUS,Regional School District 10,
0903530DUS,Regional School District 12,
0903535DUS,Regional School District 13,
0903536DUS,Regional School District 14,
0903537DUS,Regional School District 15,
0903538DUS,Regional School District 16,
0903539DUS,Regional School District 17,
0903570DUS,Regional School District 11,
0903600DUS,Regional School District 01,
0903630DUS,Regional School District 04,
0903660DUS,Regional School District 05,
0903750DUS,Regional School District 08,
0903780DUS,"Easton, Redding, & Region 9 School Districts",
0903810DUS,Ridgefield School District,1
0903840DUS,Rocky Hill School District,
0903990DUS,Seymour School District,
0904050DUS,Shelton School District,
0904110DUS,Simsbury School District,
0904140DUS,Somers School District,
0904170DUS,South Windsor School District,
0904230DUS,Southington School District,1
0904290DUS,Stafford School District,
0904320DUS,Stamford Public Schools,
0904380DUS,Stonington School District,
0904440DUS,Stratford Public Schools,1
0904470DUS,Suffield School District,
0904560DUS,Tolland School District,1
0904590DUS,Torrington School District,1
0904620DUS,Trumbull School District,
0904680DUS,Vernon School District,1
0904740DUS,Wallingford School District,
0904830DUS,Waterbury School District,
0904860DUS,Waterford School District,
0904890DUS,Watertown School District,
0904920DUS,West Hartford School District,
0904950DUS,West Haven School District,
0904980DUS,Westbrook School District,
0905010DUS,Weston School District,
0905040DUS,Westport Public Schools,
0905070DUS,Wethersfield School District,
0905190DUS,Windham School District,1
0905220DUS,Windsor School District,
0905250DUS,Windsor Locks School District,
0905280DUS,Wolcott School District,
0905371DUS,Norwich Free Academy,
1001850DUS,Woodbridge School District,
1100030DUS,District of Columbia Public Schools,
1200150DUS,Brevard County School District,
1200180DUS,Broward County School District,
1200330DUS,Collier County School District,1
1200420DUS,Desoto County School District,
1200660DUS,Glades County School District,
1200930DUS,Indian River County School District,1
1201320DUS,Monroe County School District,
1201440DUS,Orange County Public Schools,1
1201470DUS,Osceola County School District,
1201680DUS,Sarasota County School District,
1201770DUS,St. Lucie County School District,1
1300420DUS,Bibb County,
1301230DUS,Clayton County,
1301290DUS,Cobb County,
1301740DUS,Dekalb County,
1301830DUS,Dougherty County,
1302130DUS,Fayette County Public Schools,
1302280DUS,Fulton County,
1302550DUS,Gwinnett County,
1303510DUS,Marietta City,
1304170DUS,Pike County,1
1500030DUS,Hawaii Department Of Education,
1600300DUS,Blaine County District,
1600360DUS,Boise School District,1
1602030DUS,McCall-Donnelly School District,1
1602100DUS,West Ada School District,1
1602250DUS,Mountain Home School District #193,
1700110DUS,North Chicago Sd 187,1
1704170DUS,Township High School District 214,
1704680DUS,East Aurora SD 131,
1705050DUS,Barrington Cusd 220,
1705220DUS,Batavia Usd 101,1
1706420DUS,Bloom Twp Hsd 206,1
1706540DUS,Community High School District 218,1
1707050DUS,Bremen Chsd 228,
1708010DUS,Byron Cusd 226,
1708550DUS,Cusd 300,
1709420DUS,Champaign Cusd 4,
1709930DUS,Chicago Public Schools,
1711250DUS,Crete Monee Cusd 201u,
1711370DUS,Community High School District 155,1
1713320DUS,East St Louis Sd 189,1
1713710DUS,Illinois School District U-46,1
1714100DUS,Elmwood Park Cusd 401,
1714490DUS,Evanston Twp Hsd 202,
1714580DUS,Evergreen Park Chsd 231,
1715900DUS,Freeport School District 145,1
1716830DUS,Glenbard Township High School District 87,
1716950DUS,Brookwood Sd 167,
1719320DUS,Hinsdale Township High School District 86,
1719830DUS,Huntley Community School District 158,
1719970DUS,Il Valley Central Usd 321,
1720610DUS,Joliet Twp Hsd 204,1
1720760DUS,Kankakee Sd 111,
1724090DUS,Maine Township High School District 207,
1725320DUS,Mc Henry Chsd 156,1
1726880DUS,J S Morton Hsd 201,1
1728620DUS,Mclean County Usd 5,
1729890DUS,Olympia Cusd 16,1
1730270DUS,Oswego Cusd 308,
1731740DUS,Plainfield School District 202,
1732910DUS,Proviso Township High Schools District 209,1
1733420DUS,Rich Township High School District 227,1
1738940DUS,Thornton Fractional Twp Hsd 215,
1738970DUS,Thornton Township High Schools District 205,
1740070DUS,Valley View Cusd 365u,
1740800DUS,Warren Township High School District 121,
1741190DUS,Wauconda Cusd 118,
1741250DUS,Waukegan Public School District 60,
1742310DUS,Sterling Public Schools,1
1742630DUS,Wilmington Cusd 209u,
1743890DUS,Zion-benton Twp Hsd 126,
1743960DUS,Yorkville Cusd 115,1
1800150DUS,Anderson Community School Corp,1
1800240DUS,South Dearborn Com School Corp,1
1800330DUS,Barr-Reeve Com Schools Inc,1
1800360DUS,Bartholomew Con School Corp,
1800420DUS,Baugo Community Schools,1
1800630DUS,Monroe County Com Sch Corp,1
1800840DUS,Clay Community Schools,1
1800960DUS,Brown County School Corporation,1
1801055DUS,University Schools,1
1801410DUS,Caston School Corporation,1
1802280DUS,Whitley Co Cons Schools,
1802400DUS,Concord Community Schools,1
1802610DUS,Decatur County Com Schools,1
1802640DUS,MSD Decatur Township,1
1802800DUS,Duneland School Corporation,
1802970DUS,East Noble School Corporation,1
1803120DUS,Eastern Hancock Co Com Sch Corp,1
1803270DUS,Elkhart Community Schools,1
1803450DUS,Evansville Vanderburgh School Corporation,
1803690DUS,Franklin Community School Corporation,
1803700DUS,Franklin County Com Sch Corp,1
1803810DUS,Frontier School Corporation,
1803870DUS,Gary Community School Corp,1
1803930DUS,Goshen Community Schools,
1803940DUS,Greater Clark County Schools,
