Id,Name,DistrictAssignedId,HasLegacyCP,DistrictId
100046USPU,Quabbin Regional Middle School                    ,07530405,,2500001DUS
100049USPU,Maryland School For The Deaf,,,0
100070USPU,Cooperative Middle School                     ,20590,,3300017DUS
100071USPU,Great Bay eLearning Charter School                ,,1,0
10010USPU,Hoover High School,,,0
10011USPU,Bob Jones High School,,,0
100130USPU,High Desert                                ,2,,0600001DUS
100134USPU,Jumoke Academy Inc,,,0
100135USPU,Odyssey Community School,,,0
100137USPU,COMMUNITY ACADEMY PUBLIC CHARTER SCHOOL           ,,1,0
10016USPU,Alabama School of Mathematics and Science,,,0
100191USPU,Lincoln Middle School                             ,481,1,3500010DUS
100208USPU,St. George Middle School                     ,SGMS,,4500002DUS
10028USPU,Auburn High School,,,0
10037USPU,Robertsdale High School,,,0
100412USPU,HANSHEW MIDDLE SCHOOL                             ,,1,0
100429USPU,Blatchley Middle School                        ,420020,,0200240DUS
10043USPU,Daphne High School,,1,0
10071USPU,Alabama School of Fine Arts - INACTIVE DO NOT USE,,1,0
101393USPU,MOUNTAIN BROOK JUNIOR HIGH SCHOOL                 ,0060,1,0102490DUS
101682USPU,Batesville Junior High School                ,4,1,0500019DUS
101693USPU,Newport Junior High School,,1,0500023DUS
101712USPU,Star City Middle School,15,1,0500028DUS
101713USPU,Gosnell Elementary School,,1,0500029DUS
101716USPU,Bearden Middle School,,1,0500032DUS
101724USPU,Hamburg Middle School,17,1,0500042DUS
101811USPU,Ashdown Junior High School,3,1,0502580DUS
101838USPU,Pea Ridge Middle School,28,1,0503030DUS
101839USPU,WASHINGTON JUNIOR HIGH SCHOOL                     ,2,1,0503060DUS
101844USPU,LINCOLN JUNIOR HIGH SCHOOL                        ,10,1,0503060DUS
101851USPU,BERGMAN MIDDLE SCHOOL                             ,502008,1,0503090DUS
101853USPU,Berryville Middle School,3,1,0503150DUS
101879USPU,Bryant Jr. High School                            ,17,1,0503690DUS
101902USPU,CEDARVILLE MIDDLE SCHOOL                          ,10,1,0504080DUS
101912USPU,Clarksville Junior High School,3601004,1,0504380DUS
101949USPU,Decatur Middle School,,1,0504980DUS
101987USPU,Eureka Springs Middle School,ESMS,1,0505970DUS
101995USPU,Farmington Junior High School,,1,0506090DUS
102004USPU,Ramay Junior High School,18,1,0506120DUS
102007USPU,Woodland Junior High School,19,1,0506120DUS
102015USPU,Forrest City Jr. High,10,1,0506270DUS
102027USPU,Chaffin Junior High School,20,1,0506330DUS
102029USPU,Darby Junior High School,21,1,0506330DUS
102032USPU,Kimmons Junior High,22,1,0506330DUS
102036USPU,Ramsey Junior High School,23,1,0506330DUS
102057USPU,Gravette Middle School,24,1,0506840DUS
102092USPU,Heber Springs Middle School,07,1,0507560DUS
102154USPU,Lake Hamilton Jr. High School,35,1,0508610DUS
102158USPU,Lakeside Middle School,,1,0508640DUS
102174USPU,Dunbar Magnet Middle School                   ,7,1,0509000DUS
102176USPU,Forest Heights Middle School                    ,9,1,0509000DUS
102180USPU,Henderson Middle School                        ,13,1,0509000DUS
102182USPU,Mann Magnet Middle School                     ,3,1,0509000DUS
102186USPU,Pulaski Heights Middle School                 ,10,1,0509000DUS
102210USPU,Cloverdale Middle School                         ,15,1,0509000DUS
102211USPU,Mabelvale Middle School                          ,16,1,0509000DUS
102215USPU,Lonoke Middle School,28,1,0509060DUS
102239USPU,Marvell-Elaine Elementary School,,1,0509510DUS
102257USPU,MONTICELLO MIDDLE SCHOOL                          ,2203011,1,0509840DUS
102266USPU,Mountainburg Middle School,,1,0510260DUS
102280USPU,Nettleton Junior High School,41,1,0510440DUS
102341USPU,Mills Middle School,6003120,1,0511850DUS
102344USPU,Jacksonville Middle School,8,1,7803289DUS
