20570USPU,1/9/2020,5653,
15999USPU,1/9/2020,4391,
13613USPU,1/15/2020,11423,highschool processed as part of district 0802910DUS (PID 34)
25364USPU,,0,
12456USPU,,0,
13972USPU,1/15/2020,34,highschool processed as part of district 0901020DUS (PID 34)
16224USPU,1/17/2020,1304,
11889USPU,1/15/2020,4573,highschool processed as part of district 0607500DUS (PID 34)
16025USPU,,0,
23880USPU,,0,highschool processed as part of district 3625350DUS (PID 34)
13617USPU,1/15/2020,5576,highschool processed as part of district 0802910DUS (PID 34)
181560USPU,,0,highschool processed as part of district 7802738DUS (PID 34)
23542USPU,,0,highschool processed as part of district 3619230DUS (PID 23)
12444USPU,1/17/2020,352,
39193USPU,,0,highschool processed as part of district 3625350DUS (PID 34)
38653USPU,1/15/2020,8564,highschool processed as part of district 0802910DUS (PID 34)
16223USPU,1/17/2020,484,
12595USPU,,0,
21995USPU,1/17/2020,5278,
12639USPU,1/17/2020,580,
16700USPU,1/17/2020,5401,
11976USPU,1/15/2020,41,highschool processed as part of district 0609640DUS (PID 34)
11974USPU,,,skipped on purpose
43041USPU,1/17/2020,11,
39208USPU,1/15/2020,4836,highschool processed as part of district 0802910DUS (PID 34)
13614USPU,1/15/2020,3365,highschool processed as part of district 0802910DUS (PID 34)
22724USPU,,0,highschool processed as part of district 3405610DUS (PID 34)
23189USPU,,0,
16354USPU,1/17/2020,4240,
13615USPU,1/15/2020,4646,highschool processed as part of district 0802910DUS (PID 34)
111516USPU,1/15/2020,3482,highschool processed as part of district 0642510DUS (PID 34)
13772USPU,1/15/2020,3076,highschool processed as part of district 0804800DUS (PID 34)
20903USPU,1/17/2020,2952,
11975USPU,1/15/2020,720,highschool processed as part of district 0609640DUS (PID 34)
11827USPU,1/15/2020,1303,highschool processed as part of district 0604830DUS (PID 34)
13777USPU,1/15/2020,3470,highschool processed as part of district 0804800DUS (PID 34)
22723USPU,,0,highschool processed as part of district 3405610DUS (PID 34)
12227USPU,1/17/2020,4566,
23755USPU,1/17/2020,2397,
13761USPU,1/15/2020,4354,highschool processed as part of district 0804800DUS (PID 34)
22726USPU,,0,highschool processed as part of district 3405610DUS (PID 34)
33126USPR,1/17/2020,8,
13756USPU,1/14/2020,186,highschool processed as part of district 0804800DUS (PID 34) - has high % of errors (148 total errors)
22725USPU,,0,highschool processed as part of district 3405610DUS (PID 34)
