0804800DUS,1/15/2020,49956,13756USPU 148 plan errors;13757USPU job error;13757USPU 1541 plan errors;13763USPU 60 plan errors;13769USPU 125 plan errors;13781USPU 994 plan errors;179379USPU 767 plan errors;39657USPU 1206 plan errors;41736USPU 49 plan errors
0604830DUS,1/15/2020,1303,
0606900DUS,1/15/2020,2934,
0607500DUS,1/15/2020,6298,11890USPU 182 plan errors
0609640DUS,1/15/2020,2531,
0609940DUS,1/15/2020,54,
0626370DUS,1/15/2020,12074,12657USPU 114 plan errors;12659USPU 43 plan errors;12660USPU 136 plan errors;12662USPU 57 plan errors
0633510DUS,1/15/2020,1407,
0638770DUS,1/15/2020,351,13234USPU 297 plan errors
0638790DUS,,0,
0642510DUS,1/15/2020,27480,111510USPU 48 plan errors;111518USPU 46 plan errors;13342USPU 1001 plan errors;13346USPU 267 plan errors;41636USPU 199 plan errors
0802910DUS,1/15/2020,39110,182973USPU 602 plan errors;216514USPU 98 plan errors
0803540DUS,1/15/2020,1302,41727USPU 63 plan errors
0805790DUS,1/15/2020,1491,13831USPU job error
0900330DUS,,0,
0901020DUS,1/15/2020,34,
0903630DUS,,0,
1809480DUS,,0,
1911820DUS,1/16/2020,295,
2102040DUS,1/16/2020,1402,
2709440DUS,1/16/2020,1106,
3175900DUS,1/16/2020,384,
3180010DUS,,,Not run - needs investigation
3180020DUS,,,Not run - needs investigation
3405610DUS,,0,
3409090DUS,1/16/2020,81,
3412260DUS,,0,
3412840DUS,,0,
3625350DUS,,0,
4104740DUS,1/16/2020,2802,
4112240DUS,,0,
4208460DUS,1/16/2020,451,26545USPU 451 plan errors
5102390DUS,,0,
5304980DUS,1/16/2020,5835,
5516620DUS,1/16/2020,1169,
7802736DUS,,,Not run - needs investigation
7802738DUS,,0,
